ABPM             , Medical        ,189,81,33,6,3.9683,0.6614,3.9877, 0.6646    \\
Foodtruck        , Text           ,254,146,28,12,2.3268,0.1939,2.2671, 0.1889    \\
			Flags            , Multimedia     ,174,110,19,7,3.3793,0.4828,3.4273, 0.4896    \\
CHD 49           , Medicine       ,372,183,49,6,2.5887,0.4315,2.5628, 0.4271    \\
			Water quality    , Chemistry      ,711,349,16,14,5.0689,0.3621,5.0802, 0.3629    \\
			Emotions         , Multimedia     ,413,270,72,6,1.908,0.318,1.8296, 0.3049    \\   
Virus PseAAC     , Bioinformatics ,139,68,440,6,1.2734,0.2122,1.1029, 0.1838    \\
VirusGo          , Bioinformatics ,139,68,749,6,1.2734,0.2122,1.1029, 0.1838    \\
Gpositive PseAAC , Bioinformatics ,448,171,440,4,1.0057,0.2514,1.0117, 0.2529    \\
Gpostive GO      , Bioinformatics ,348,171,912,4,1.0057,0.2514,1.0117, 0.2529    \\
			Proteins Virus   , Biology        ,206,62,1538,6,1.2292,0.2049,1.1774, 0.1962    \\ 
			Yeast            , Biology        ,1450,967,103,14,4.2566,0.304,4.2079, 0.3006    \\
			Birds            , Multimedia     ,445,290,260,19,1.0404,0.0548,0.9655, 0.0508    \\
			Scene            , Multimedia     ,1447,960,294,6,1.0788,0.1798,1.0667, 0.1778    \\
Gnegative PseAAC , Bioinformatics ,933,459,440,8,1.0407,0.1301,1.0566, 0.1320    \\   
Plant PseACC     , Bioinformatics ,656,322,440,12,1.0854,0.0904,1.0652, 0.0888    \\  
			Cal500           , Multimedia     ,362,230,68,174,25.9064,0.1489,26.2223, 0.1507    \\
			Proteins Plants  , Biology        ,673,288,1538,12,1.0847,0.0904,1.0625, 0.0885    \\  
Gnegative GO     , Bioinformatics ,933,459,1717,8,1.0407,0.1301,1.0566, 0.1321    \\  
Human PseAAC     , Bioinformatics ,2082,1024,440,14,1.1969,0.0855,1.1611, 0.0829    \\ 
Genbase          , Biology        ,460,292,1185,27,1.237,0.0458,1.2568, 0.0466    \\
			Yelp             , Text           ,7241,3565,671,5,1.647,0.3294,1.6205, 0.3241    \\  
			Plant GO         , Bioinformatics ,656,322,3091,12,1.0854,0.0904,1.0652, 0.0888    \\ 
			Proteins Humans  , Biology        ,1663,713,1538,14,1.279,0.0914,1.2637, 0.0903    \\
			Medical          , Text           ,648,420,1499,45,1.2253,0.0272,1.2714, 0.0283    \\
Slashdot     , Text           ,2272,1513,1079,22,1.1787,0.0536,1.1844, 0.0538    \\
Enron            , Text           ,1082,710,1001,53,3.3983,0.0641,3.3366, 0.0630    \\
Langlog          , Text           ,940,610,1004,75,1.1489,0.0153,1.2295, 0.0164    \\
			Arabic 200       , Text           ,15000,8754,200,40,1.1073,0.0277,1.2536, 0.0313    \\  
Stackexchange chess , Text        ,1005,670,585,227,2.4229,0.0107,2.394, 0.0106    \\
Reutersk 500     , Text           ,3607,2403,500,103,1.4649,0.0142,1.458, 0.0142    \\ 
			Tmc2007 500      , Text           ,17190,11462,500,22,2.2253,0.1012,2.2107, 0.1005    \\
Ohsumed          , Text           ,8392,5592,1002,23,1.6621,0.0723,1.664, 0.0724    \\
			Ng20             , Text           ,11640,7750,1006,20,1.0288,0.0514,1.0291, 0.0515    \\   			
Bibtex           , Text           ,4495,2990,1836,159,2.422,0.0152,2.3625, 0.0149    \\
			Human GO         , Bioinformatics ,2082,1024,9844,14,1.1969,0.0855,1.1611, 0.0829    \\ 
Stackexchange philosophy , Text   ,2385,1593,842,233,2.2839,0.0098,2.2561, 0.0097    \\
Stackexchange cs , Text           ,5571,3717,635,274,2.5536,0.0093,2.5582, 0.0093    \\
			Corel5k          , Multimedia     ,3060,2030,499,374,3.5242,0.0094,3.5153, 0.0094    \\
			Delicious        , Text           ,9725,6470,500,983,19.0851,0.0194,18.936, 0.0193    \\ 
